iter	Passed	Remaining
711	1524	616
712	1526	614
713	1528	612
714	1531	610
715	1534	608
716	1536	606
717	1539	604
718	1540	602
719	1542	599
720	1544	597
721	1545	595
722	1547	592
723	1549	590
724	1550	588
725	1552	586
726	1554	583
727	1557	581
728	1559	579
729	1561	577
730	1563	575
731	1565	573
732	1568	571
733	1571	569
734	1572	567
735	1574	564
736	1575	562
737	1577	559
738	1578	557
739	1580	555
740	1581	552
741	1582	550
742	1583	547
743	1584	545
744	1586	542
745	1587	540
746	1588	538
747	1589	535
748	1590	533
749	1591	530
750	1593	528
751	1595	526
752	1596	523
753	1597	521
754	1600	519
755	1601	516
756	1603	514
757	1604	512
758	1605	509
759	1607	507
760	1608	505
761	1609	502
762	1611	500
763	1612	498
764	1613	495
765	1614	493
766	1615	490
767	1617	488
768	1618	486
769	1620	484
770	1622	481
771	1623	479
772	1624	477
773	1625	474
774	1626	472
775	1627	469
776	1628	467
777	1630	465
778	1632	463
779	1633	460
780	1634	458
781	1635	456
782	1637	453
783	1638	451
784	1640	449
785	1641	446
786	1642	444
787	1643	442
788	1645	439
789	1646	437
790	1647	435
791	1648	432
792	1649	430
793	1651	428
794	1652	426
795	1653	423
796	1654	421
797	1656	419
798	1657	416
799	1658	414
800	1684	418
801	1686	416
802	1687	414
803	1689	411
804	1691	409
805	1692	407
806	1693	405
807	1694	402
808	1695	400
809	1696	398
810	1698	395
811	1699	393
812	1701	391
813	1702	388
814	1703	386
815	1705	384
816	1707	382
817	1708	380
818	1709	377
819	1711	375
820	1714	373
821	1715	371
822	1717	369
823	1720	367
824	1723	365
825	1725	363
826	1727	361
827	1729	359
828	1731	357
829	1733	355
830	1735	353
831	1739	351
832	1743	349
833	1746	347
834	1749	345
835	1753	344
836	1755	341
837	1758	339
838	1760	337
839	1762	335
840	1764	333
841	1767	331
842	1768	329
843	1770	327
844	1771	325
845	1773	322
846	1776	320
847	1778	318
848	1781	316
849	1784	314
850	1788	313
851	1794	311
852	1798	309
853	1800	307
854	1801	305
855	1804	303
856	1806	301
857	1807	299
858	1811	297
859	1812	295
860	1814	292
861	1818	291
862	1822	289
863	1824	287
864	1826	285
865	1828	282
866	1830	280
867	1831	278
868	1833	276
869	1835	274
870	1836	272
871	1839	269
872	1840	267
873	1841	265
874	1844	263
875	1845	261
876	1847	259
877	1850	257
878	1853	255
879	1855	253
880	1857	250
881	1859	248
882	1861	246
883	1862	244
884	1865	242
885	1868	240
886	1870	238
887	1872	236
888	1874	234
889	1877	232
890	1879	229
891	1880	227
892	1882	225
893	1885	223
894	1887	221
895	1889	219
896	1890	217
897	1892	214
898	1895	212
899	1897	210
900	1899	208
901	1901	206
902	1907	204
903	1911	202
904	1914	200
905	1916	198
906	1920	196
907	1924	195
908	1927	192
909	1929	190
910	1931	188
911	1932	186
912	1934	184
913	1936	182
914	1939	180
915	1941	178
916	1943	175
917	1945	173
918	1947	171
919	1949	169
920	1952	167
921	1955	165
922	1956	163
923	1958	161
924	1960	158
925	1963	156
926	1966	154
927	1969	152
928	1971	150
929	1973	148
930	1975	146
931	1977	144
932	1979	142
933	1980	139
934	1981	137
935	1982	135
936	1984	133
937	1985	131
938	1986	129
939	1987	126
940	1988	124
941	1990	122
942	1992	120
943	1993	118
944	1995	116
945	1996	113
946	1998	111
947	1999	109
948	2002	107
949	2004	105
950	2005	103
951	2007	101
952	2010	99
953	2011	96
954	2013	94
955	2015	92
956	2017	90
957	2019	88
958	2021	86
959	2022	84
960	2024	82
961	2025	80
962	2026	77
963	2028	75
964	2030	73
965	2031	71
966	2033	69
967	2034	67
968	2036	65
969	2037	63
970	2038	60
971	2039	58
972	2040	56
973	2041	54
974	2042	52
975	2043	50
976	2045	48
977	2046	46
978	2047	43
979	2048	41
980	2049	39
981	2050	37
982	2052	35
983	2053	33
984	2054	31
985	2055	29
986	2056	27
987	2058	25
988	2060	22
989	2061	20
990	2062	18
991	2064	16
992	2065	14
993	2066	12
994	2068	10
995	2069	8
996	2071	6
997	2072	4
998	2074	2
999	2076	0
